"Undersøkelse";"Respondent-ID";"Organisasjon";"Grunnleggende status - E-post sendt";"Grunnleggende status - Skjema skrevet ut";"Grunnleggende status - Bakgrunnsdata er eksportert til brevfletting";"Grunnleggende status - Distribuert via kobling";"Grunnleggende status - Svar importert";"Grunnleggende status - Noen spørsmål besvart";"Grunnleggende status - Siste side vist til respondent";"Grunnleggende status - Opprettet manuelt av administrator";"Grunnleggende status - Opprettet ved import";"Grunnleggende status - Opprettet av inntaster";"Grunnleggende status - Opprettet av respondenten selv";"Grunnleggende status - Opprettet via webtjeneste";"Grunnleggende status - Svar tastet inn av respondent";"Grunnleggende status - Svar tastet inn i administrasjonsgrensesnittet";"Grunnleggende status - Svar innsamlet via intervju";"Grunnleggende status - Svar innsamlet via webtjeneste";"Grunnleggende status - Respondent lukket av intervjuer";"Grunnleggende status - Siste side vist til intervjuer";"Grunnleggende status - Gitt avkall på via returmelding";"Grunnleggende status - Opprettet av import fra prøvegruppe";"Opprettet";"Endret";"Avslutningstidspunkt";"Svartidspunkt";"Svarvarighet (sekunder)";"Svarsesjoner";"Antall returmeldinger";"Importer gruppe";"Tidsplan for datainnsamling";"E-post";"Siste distribusjonsstatus";"Siste distribusjonsfeilmelding";"1. Hvor gammel er du?";"2. Ved hvilket fakultetet studerer du?";"3. Studerer du et IT-fag?";"4. Hva har du lært fra minispillet? (du kan skrive norsk eller engelsk)";"5. Målene med mini-spillene var klare";"6. Jeg var konsentret mens jeg spilte minispillet";"7. Tilbakemeldingene som ble gitt under minispillet var nyttige";"8. Ved å spille dette minispillet, har min kunnskap om de forskjellige synlige og usynlige datatypene bedret seg (økt)";"9. Jeg føler at jeg kan bruke min kunnskap om ulike synlige og usynlige datatyper i nye situasjoner";"10. Jeg vil vite mer om ulike synlige og usynlige datatyper";"11. Det var enkelt å navigere seg gjennom minispillet";"12. Minispillet var tilstrekkelig utfordrende og passet med ferdighets- og kunnskapsnivået mitt";"12a. Hvis ikke tilstrekkelig utfordrende, spillet var";"13. Tiden for å fullføre spørsmålene  var passende";"13a. Hvis tiden var ikke passende, tiden til å svare var";"14. Hvilken av de tre datakategoriene syntes du var vanskeligst å forstå? ";"15. På hvilken måte kan vi forbedre minispillet? (kan skive på norsk eller engelsk)";"Gjennomføringsstatus - Lukket";"Gjennomføringsstatus - Gjennomført";"Gjennomføringsstatus - Avvist via svar-e-post";"Opprettelsesstatus - Opprettet manuelt av administrator";"Opprettelsesstatus - Opprettet ved import av administrator";"Opprettelsesstatus - Opprettet av inntaster";"Opprettelsesstatus - Opprettet av respondent via kobling";"Opprettelsesstatus - Opprettet via webtjeneste";"Opprettelsesstatus - Opprettelsestype ukjent";"Opprettelsesstatus - Importert fra prøvegruppe";"Distribusjonsstatus - Brevfletting";"Distribusjonsstatus - Ingen";"Distribusjonsstatus - E-post";"Distribusjonsstatus - Papir";"Distribusjonsstatus - Selvoppretting med kobling";"Svaropprinnelsesstatus - Svar tastet inn av respondent";"Svaropprinnelsesstatus - Svar tastet inn i administrasjonsgrensesnittet";"Svaropprinnelsesstatus - Svar innsamlet via intervju";"Svaropprinnelsesstatus - Svar importert";"Svaropprinnelsesstatus - Svar innsamlet via webtjeneste";"Svaropprinnelsesstatus - Svaropprinnelse ukjent";"Innsamlingsstatus - Ingen";"Innsamlingsstatus - Noen svar";"Innsamlingsstatus - Gjennomført";"Innsamlingsstatus - Frafalt";"Samlet status - Ny";"Samlet status - Distribuert";"Samlet status - Noen svar";"Samlet status - Gjennomført";"Samlet status - Frafalt"
"DATA ISFJELL";924012578;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-05 22:37:14;2022-09-05 22:39:29;2022-09-05 22:39:29;2022-09-05 22:39:29;0,003;1;0;;;"";"-";"";"30-64";"Det samfunnsvitenskapelige fakultet";"Nei";"forkskjellen mellom data og hvordan del data vi ser";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";"4 (enig)";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";;"4 (enig)";;"rådata";"litt mer spørsmål";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";923627070;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-03 18:30:18;2022-09-03 18:32:29;2022-09-03 18:32:29;2022-09-03 18:32:05;23,884;1;0;;;"";"-";"";"30-64";"Det humanistiske fakultet";"Nei";"Mer om dataverden.";"3 (verken uenig / enig)";"4 (enig)";"4 (enig)";"5 (helt enig)";"4 (enig)";"5 (helt enig)";"5 (helt enig)";"3 (verken uenig / enig)";"for vanselig";"5 (helt enig)";;"rådata";"Mer om rådata";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";923556411;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-03 15:59:21;2022-09-03 16:01:11;2022-09-03 16:01:11;2022-09-03 16:01:11;0;1;0;;;"";"-";"";"30-64";"Det samfunnsvitenskapelige fakultet";"Nei";"Litt om forskjeller på ulike typer data, både synlig og usynlig, samt interaksjonen mellom mennesker og maskiner.";"4 (enig)";"4 (enig)";"4 (enig)";"4 (enig)";"4 (enig)";"4 (enig)";"4 (enig)";"4 (enig)";;"4 (enig)";;"rådata";"Synes det var heilt ok!";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";922747704;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-08-30 19:16:23;2022-08-30 19:19:29;2022-08-30 19:19:29;2022-08-30 19:19:29;0;1;0;;;"";"-";"";"18-29";"Det humanistiske fakultet";"Ja";"De ulike kategoriene med synlig og usynlig rådata, synlig og usynlig analytisk data, og funksjonell data.";"5 (helt enig)";"4 (enig)";"4 (enig)";"4 (enig)";"4 (enig)";"3 (verken uenig / enig)";"5 (helt enig)";"4 (enig)";;"5 (helt enig)";;"funksjonelle data";"Flere eksempler for de ulike datakategoriene";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";922950970;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-08-31 20:37:26;2022-08-31 20:39:25;2022-08-31 20:39:25;2022-08-31 20:38:59;25,5;1;0;;;"";"-";"";"18-29";"Det samfunnsvitenskapelige fakultet";"Nei";"jeg har lært at det finnes forskjellige former for data, sett i lys av hva man gjør på nett.";"3 (verken uenig / enig)";"2 (uenig)";"4 (enig)";"3 (verken uenig / enig)";"3 (verken uenig / enig)";"3 (verken uenig / enig)";"4 (enig)";"3 (verken uenig / enig)";"for lett";"4 (enig)";"for lang";"funksjonelle data";"usikker";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";923170879;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-01 12:10:19;2022-09-01 12:14:00;2022-09-01 12:14:00;2022-09-01 12:14:00;0,003;1;0;;;"";"-";"";"18-29";"Det juridiske fakultet";"Ja";"Jeg har fått en bedre forståelse for hvilke typer data vi har, og hvordan de samles basert på mine digitale vaner. Det var hjelpsomt at de ulike datatypene ble satt inn i en kontekst og scenarioer som er kjent for mange i hverdagen. Jeg kommer til å bli mer oppmerksom på hvordan jeg velger å etterlate meg spor på blant annet internett.";"5 (helt enig)";"5 (helt enig)";"4 (enig)";"5 (helt enig)";"5 (helt enig)";"4 (enig)";"5 (helt enig)";"5 (helt enig)";;"5 (helt enig)";;"analytiske data";"Jeg kunne tenkt meg at spillet hadde to til tre ekstra oppgaver fordi nå man begynte å forstå de ulike datatypene så var spillet ferdig";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";922751806;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-08-30 20:49:23;2022-08-30 20:52:16;2022-08-30 20:52:16;2022-08-30 20:51:45;31,033;1;0;;;"";"-";"";"18-29";"Det samfunnsvitenskapelige fakultet";"Ja";"Har lært å skille mellom forskjellige typer data som er en del av isfjell-modellen";"5 (helt enig)";"5 (helt enig)";"4 (enig)";"4 (enig)";"4 (enig)";"3 (verken uenig / enig)";"5 (helt enig)";"4 (enig)";;"5 (helt enig)";;"rådata";"Syns det var et bra spill";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";923519029;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-02 22:42:24;2022-09-02 22:45:14;2022-09-02 22:45:14;2022-09-02 22:44:52;22,113;1;0;;;"";"-";"";"18-29";"Det juridiske fakultet";"Nei";"Eg lærte at det å kategorisere data er svært vanskelig og de kan fort overlappe hverandre. i tillegg er det ekstremt mye data som ikke er synlig men som fremdeles kan tas i bruk, både positivt og negativt.";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";"4 (enig)";"5 (helt enig)";"4 (enig)";"5 (helt enig)";;"3 (verken uenig / enig)";"for kort";"analytiske data";"Vet ikke, kanskje forlenge tiden litt.";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";923408202;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-02 10:58:02;2022-09-02 10:59:51;2022-09-02 10:59:51;2022-09-02 10:59:21;29,85;1;0;;;"";"-";"";"18-29";"Det medisinske fakultet";"Nei";"Jeg har lært om ulike data";"5 (helt enig)";"5 (helt enig)";"4 (enig)";"4 (enig)";"3 (verken uenig / enig)";"4 (enig)";"5 (helt enig)";"5 (helt enig)";;"2 (uenig)";"for kort";"rådata";"annen farge på skrift i svar-tekstboksene. Den hvite var vanskelig å se.";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";923715916;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-04 12:10:11;2022-09-04 12:12:44;2022-09-04 12:12:44;2022-09-04 12:12:27;16,954;1;0;;;"";"-";"";"18-29";"Det juridiske fakultet";"Ja";"Eksemplene ga en dypere forståelsene av forskjellen mellom de ulike kategoriene i isfjellet. Dette gjorde at stoffet på Datareisen ga mer mening.";"5 (helt enig)";"4 (enig)";"4 (enig)";"4 (enig)";"4 (enig)";"4 (enig)";"5 (helt enig)";"4 (enig)";;"4 (enig)";;"analytiske data";"Det hadde vært fint med en oversikt på slutten over hva som var riktig og feil, slik at man kanskje kan bruke denne dataen til å se om det er et spesielt punkt som man gjennomgående svarer feil på.";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";923981905;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-05 18:44:46;2022-09-05 18:47:10;2022-09-05 18:47:10;2022-09-05 18:47:10;0;1;0;;;"";"-";"";"18-29";"Det samfunnsvitenskapelige fakultet";"Ja";"Jeg har lært og sett eksempler på hvordan data kategoriseres.";"4 (enig)";"4 (enig)";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";"4 (enig)";"4 (enig)";"4 (enig)";;"4 (enig)";;"analytiske data";"Layout på knapper";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";923294286;"Barbara Wasson Lillehaug";0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-01 23:25:32;2022-09-01 23:26:54;;2022-09-01 23:26:54;;1;0;;;"";"-";"";"18-29";"Det matematisk-naturvitenskapelige fakultet";"Nei";"";"4 (enig)";"4 (enig)";"3 (verken uenig / enig)";"4 (enig)";"3 (verken uenig / enig)";"4 (enig)";"4 (enig)";"2 (uenig)";"for lett";"3 (verken uenig / enig)";;"rådata";"";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0
"DATA ISFJELL";922864970;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-08-31 12:40:09;2022-08-31 12:41:06;2022-08-31 12:41:06;2022-08-31 12:41:06;0;1;0;;;"";"-";"";"18-29";"Det samfunnsvitenskapelige fakultet";"Ja";"De tre modellene i isfjellberget";"3 (verken uenig / enig)";"3 (verken uenig / enig)";"3 (verken uenig / enig)";"3 (verken uenig / enig)";"3 (verken uenig / enig)";"3 (verken uenig / enig)";"3 (verken uenig / enig)";"3 (verken uenig / enig)";"for vanselig";"3 (verken uenig / enig)";"for kort";"analytiske data";"skrive på norsk";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";923511104;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-02 19:38:17;2022-09-02 19:40:30;2022-09-02 19:40:30;2022-09-02 19:40:30;0;1;0;;;"";"-";"";"18-29";"Det matematisk-naturvitenskapelige fakultet";"Nei";"Jeg lærte om hva slags forskjellige datatyper som finnes";"5 (helt enig)";"3 (verken uenig / enig)";"4 (enig)";"5 (helt enig)";"3 (verken uenig / enig)";"2 (uenig)";"5 (helt enig)";"3 (verken uenig / enig)";"for lett";"4 (enig)";;"analytiske data";"Tilfeldig rekkefølge på spørsmålet kunne hjulpet. Jeg fant hvertfall et mønster i de 5 første spørsmålene.";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
